uniqueID;ID;location;maturity;totalDevelopers;complexityPoints;start;end;leadTime;technicalDebt;taskScaling;taskGlobalDistance
14187;t1;India;4;13;60;8/11/14;2/6/15;179d;796;0,216666666666667;1,25
15448;b1b3;Virtual;4;25;170;1/19/15;6/5/15;137d;2474;0,147058823529412;6,24474830914708
13350;tl1;India;4;7;35;2/9/15;4/2/15;52d;202;0,2;3,46399062714884
13708;tk1;India;4;2;15;4/27/15;6/5/15;39d;0;0,133333333333333;3,46399062714884
13756;i1;India;4;4;25;4/27/15;6/12/15;46d;626;0,16;3,46399062714884
14475;tl2;India;4;6;20;5/4/15;7/10/15;67d;52;0,3;3,46399062714884
16334;vc1;Virtual;4;9;70;7/27/15;10/30/15;95d;517;0,128571428571429;3,46399062714884
16573;w1;India;4;9;110;8/10/15;10/16/15;67d;3085;0,0818181818181818;3,46399062714884
16456;vc2;India;4;8;350;8/10/15;11/6/15;88d;3270;0,0228571428571429;3,46399062714884
15952;tk2;India;4;2;10;8/10/15;8/28/15;18d;20;0,2;3,46399062714884
14110;c1;India;4;8;100;8/10/15;12/18/15;130d;3834;0,08;3,46399062714884
16121;vc3;India;4;10;95;8/31/15;12/4/15;95d;1778;0,105263157894737;3,46399062714884
15193;id1;India;4;6;50;10/12/15;1/15/16;95d;5429;0,12;3,46399062714884
17377;vc4;India;4;5;25;11/9/15;3/11/16;123d;666;0,2;3,46399062714884
15940;ci1;India;2;6;100;1/18/16;5/13/16;116d;3329;0,06;3,46399062714884
12670;vc5;India;4;6;20;2/1/16;3/24/16;52d;4,2;0,3;3,46399062714884
16519;z1;India;4;3;25;3/7/16;5/4/16;58d;34;0,12;3,46399062714884
16119;ci3;India;4;7;15;4/11/16;6/24/16;74d;37;0,466666666666667;3,46399062714884
16528;z2;India;4;5;20;4/11/16;6/3/16;53d;740;0,25;3,46399062714884
18692;vc7;Virtual;4;7;20;4/11/16;5/28/16;47d;1656;0,35;6,10327780786685
17363;f1;India;4;5;30;4/25/16;7/15/16;81d;33;0,166666666666667;3,46399062714884
16582;z3;India;4;7;60;5/9/16;9/2/16;116d;876;0,116666666666667;3,46399062714884
18718;vc8;India;4;6;15;6/3/16;7/6/16;33d;260;0,4;3,46399062714884
14113;b2;Italy;0;4;50;8/11/14;11/21/14;102d;133;0,08;0,75432878673221
14688;wt1;Italy;0;3;30;10/13/14;12/12/14;60d;1115;0,1;0,75432878673221
16455;v1;USA;0;3;60;8/3/15;9/15/15;43d;18;0,05;4,08238872862956
16498;v2;USA;0;3;110;8/24/15;12/4/15;102d;504;0,0272727272727273;4,08238872862956
16604;v3;USA;0;3;100;12/7/15;2/12/16;67d;1643;0,03;4,08238872862956
18315;v4;USA;0;4;50;5/9/16;7/9/16;61d;893;0,08;4,08238872862956
15696;vc10;Sweden;4;4;35;4/13/15;5/22/15;39d;518;0,114285714285714;0
16084;vc11;Sweden;0;8;600;8/24/15;12/7/15;105d;4455;0,0133333333333333;0
18374;vc55;Virtual;2;4;30;3/21/16;4/15/16;25d;943;0,133333333333333;6,12246420171115
12621;trk3;Turkey;4;4;35;12/2/13;1/31/14;60d;0;0,114285714285714;1,73182882092169
