taskID;employeeID;employeeName;team;role;experience
VOICE-453;20088694.0;Employee-USA#0;EUS-Dallas;Developer;5
VOICE-453;20089561.0;Employee-USA#1;EUS-Dallas;Design lead;15
VOICE-453;23499132.0;Employee-USA#2;EUS-Dallas;Developer;0,71
VOICE-458;20088694.0;Employee-USA#0;EUS-Dallas;Developer;5
VOICE-458;20089561.0;Employee-USA#1;EUS-Dallas;Design lead;15
VOICE-458;23499132.0;Employee-USA#2;EUS-Dallas;Developer;0,94
VOICE-465;20089561.0;Employee-USA#1;EUS-Dallas;Design lead;15
VOICE-465;23499132.0;Employee-USA#2;EUS-Dallas;Developer;1,11
VOICE-465;20088694.0;Employee-USA#0;EUS-Dallas;Developer;5
VOICE-553;20089561.0;Employee-USA#1;EUS-Dallas;Design lead;15
VOICE-553;23499132.0;Employee-USA#2;EUS-Dallas;Developer;1,11
VOICE-553;20088694.0;Employee-USA#0;EUS-Dallas;Developer;5
VOICE-553;;Employee-USA#3;EUS-Dallas;Developer;5
VOICE-392;;Employee-USA#3;EUS-Dallas;Developer;5
